"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"서울특별시  (1100000000)","4,772,822","4,772,822","352,429","438,879","715,764","772,697","788,829","757,138","543,039","302,828","90,347","9,398","1,474","4,993,466","4,993,466","334,935","413,519","734,541","772,798","800,393","790,863","603,892","359,950","150,899","27,271","4,405"
"서울특별시 종로구 (1111000000)","74,700","74,700","4,331","6,217","11,887","10,506","11,555","12,947","9,184","5,587","2,078","333","75","78,166","78,166","4,204","6,087","11,838","10,666","12,191","12,838","9,429","6,950","3,173","632","158"
"서울특별시 종로구 청운효자동(1111051500)","6,109","6,109","489","732","812","871","1,028","942","575","437","186","34","3","6,921","6,921","462","620","828","1,016","1,289","1,045","732","600","275","41","13"
"서울특별시 종로구 사직동(1111053000)","4,322","4,322","337","368","543","620","700","692","504","350","176","29","3","5,260","5,260","331","409","640","811","872","841","608","440","245","49","14"
"서울특별시 종로구 삼청동(1111054000)","1,333","1,333","65","126","172","200","198","208","186","121","47","10","0","1,497","1,497","71","91","175","221","194","248","211","172","92","15","7"
"서울특별시 종로구 부암동(1111055000)","4,856","4,856","318","496","771","611","750","797","568","364","161","17","3","5,306","5,306","292","454","658","705","907","912","664","449","205","53","7"
"서울특별시 종로구 평창동(1111056000)","8,862","8,862","612","983","1,398","1,080","1,280","1,533","1,057","611","265","33","10","10,039","10,039","608","910","1,286","1,260","1,634","1,798","1,184","800","424","120","15"
"서울특별시 종로구 무악동(1111057000)","3,864","3,864","314","474","421","425","760","663","421","249","113","14","10","4,370","4,370","370","535","496","481","799","654","494","356","151","29","5"
"서울특별시 종로구 교남동(1111058000)","4,992","4,992","480","408","632","911","903","752","489","296","101","15","5","5,717","5,717","452","465","739","1,008","999","805","633","419","161","28","8"
"서울특별시 종로구 가회동(1111060000)","2,069","2,069","118","187","247","296","364","352","248","182","65","8","2","2,356","2,356","109","186","263","314","422","378","294","260","94","31","5"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,378","4,378","132","121","466","541","592","970","888","468","152","37","11","2,992","2,992","100","127","454","397","369","460","476","359","177","50","23"
"서울특별시 종로구 종로5.6가동(1111063000)","2,836","2,836","65","151","523","365","396","577","394","270","76","17","2","2,370","2,370","64","146","421","262","300","442","320","265","117","28","5"
"서울특별시 종로구 이화동(1111064000)","3,835","3,835","159","253","832","676","549","568","430","261","91","14","2","4,258","4,258","152","254","954","707","542","601","467","365","178","28","10"
"서울특별시 종로구 혜화동(1111065000)","8,254","8,254","392","705","2,239","1,203","1,157","1,092","710","522","208","20","6","8,753","8,753","409","711","2,097","1,123","1,238","1,204","813","752","345","50","11"
"서울특별시 종로구 창신제1동(1111067000)","2,899","2,899","91","150","348","331","399","684","540","267","73","16","0","2,440","2,440","91","144","287","233","356","502","413","283","102","23","6"
"서울특별시 종로구 창신제2동(1111068000)","4,483","4,483","167","306","696","549","721","958","610","349","107","19","1","4,294","4,294","148","302","596","413","623","896","655","453","175","23","10"
"서울특별시 종로구 창신제3동(1111069000)","3,558","3,558","239","308","544","521","503","649","451","236","82","16","9","3,671","3,671","203","300","507","549","546","665","441","299","138","21","2"
"서울특별시 종로구 숭인제1동(1111070000)","3,142","3,142","172","222","447","493","525","566","401","222","78","14","2","3,224","3,224","173","223","418","423","481","601","446","302","132","19","6"
"서울특별시 종로구 숭인제2동(1111071000)","4,908","4,908","181","227","796","813","730","944","712","382","97","20","6","4,698","4,698","169","210","1,019","743","620","786","578","376","162","24","11"
"서울특별시 중구 (1114000000)","62,025","62,025","3,807","3,914","8,942","10,433","9,742","10,739","8,136","4,516","1,514","227","55","63,847","63,847","3,783","3,761","9,335","10,328","9,203","10,288","8,254","5,574","2,699","496","126"
"서울특별시 중구 소공동(1114052000)","993","993","100","35","80","232","216","141","118","53","14","3","1","1,039","1,039","96","74","128","235","203","123","99","51","20","8","2"
"서울특별시 중구 회현동(1114054000)","2,921","2,921","116","93","251","305","423","672","612","287","108","40","14","2,440","2,440","104","108","305","286","319","417","423","275","140","42","21"
"서울특별시 중구 명동(1114055000)","1,196","1,196","63","44","138","172","192","214","218","116","29","8","2","1,613","1,613","52","64","138","204","270","274","308","182","97","19","5"
"서울특별시 중구 필동(1114057000)","2,092","2,092","116","104","343","349","308","348","295","162","55","9","3","1,907","1,907","101","88","299","295","211","304","279","184","108","32","6"
"서울특별시 중구 장충동(1114058000)","2,413","2,413","104","162","651","374","342","304","246","162","61","7","0","2,322","2,322","99","174","516","332","292","317","263","210","100","16","3"
"서울특별시 중구 광희동(1114059000)","2,617","2,617","79","117","372","386","353","519","450","242","81","13","5","2,323","2,323","76","106","355","324","289","386","402","254","104","19","8"
"서울특별시 중구 을지로동(1114060500)","1,071","1,071","25","20","99","135","129","258","258","102","35","6","4","663","663","20","18","111","90","65","105","109","88","41","11","5"
"서울특별시 중구 신당동(1114061500)","3,881","3,881","113","211","651","680","658","716","472","272","90","15","3","3,852","3,852","162","174","725","602","556","673","445","346","137","27","5"
"서울특별시 중구 다산동(1114062500)","7,120","7,120","345","538","1,144","1,258","1,112","1,160","839","562","145","14","3","7,514","7,514","322","466","1,217","1,146","1,145","1,219","1,013","669","261","46","10"
"서울특별시 중구 약수동(1114063500)","8,380","8,380","639","572","1,065","1,301","1,325","1,370","1,153","671","250","28","6","9,381","9,381","679","529","1,057","1,471","1,331","1,531","1,341","873","478","82","9"
"서울특별시 중구 청구동(1114064500)","6,951","6,951","461","541","1,005","1,185","1,061","1,167","849","466","187","27","2","7,694","7,694","469","491","1,076","1,208","1,105","1,293","929","707","357","53","6"
"서울특별시 중구 신당제5동(1114065000)","4,665","4,665","279","311","674","712","814","891","568","311","97","8","0","4,701","4,701","315","310","649","675","727","798","594","412","186","26","9"
"서울특별시 중구 동화동(1114066500)","5,308","5,308","431","446","807","711","854","966","641","309","122","18","3","5,706","5,706","392","477","784","824","859","1,014","645","422","232","48","9"
"서울특별시 중구 황학동(1114067000)","6,075","6,075","393","276","919","1,392","926","948","708","398","102","12","1","6,345","6,345","376","282","1,152","1,357","895","885","731","423","205","29","10"
"서울특별시 중구 중림동(1114068000)","6,342","6,342","543","444","743","1,241","1,029","1,065","709","403","138","19","8","6,347","6,347","520","400","823","1,279","936","949","673","478","233","38","18"
"서울특별시 용산구 (1117000000)","110,652","110,652","7,560","8,736","15,795","19,090","18,254","17,868","12,625","7,324","2,878","430","92","118,515","118,515","7,070","8,401","16,795","19,180","18,823","18,409","14,040","9,691","4,894","965","247"
"서울특별시 용산구 후암동(1117051000)","8,809","8,809","599","805","1,298","1,504","1,459","1,379","984","574","163","40","4","9,344","9,344","540","671","1,283","1,453","1,491","1,522","1,129","743","394","97","21"
"서울특별시 용산구 용산2가동(1117052000)","5,154","5,154","263","345","862","966","747","755","673","399","122","17","5","5,521","5,521","222","346","774","904","790","871","773","499","277","50","15"
"서울특별시 용산구 남영동(1117053000)","4,806","4,806","134","154","474","571","811","1,231","875","385","128","28","15","3,015","3,015","120","134","506","486","392","484","425","292","130","32","14"
"서울특별시 용산구 청파동(1117055500)","9,577","9,577","413","773","1,718","1,660","1,532","1,555","1,018","640","235","24","9","10,539","10,539","402","640","2,261","1,476","1,543","1,607","1,239","908","371","70","22"
"서울특별시 용산구 원효로제1동(1117056000)","7,477","7,477","722","457","981","1,766","1,305","995","716","366","141","22","6","7,993","7,993","662","451","1,340","1,786","1,217","1,075","767","449","186","48","12"
"서울특별시 용산구 원효로제2동(1117057000)","7,004","7,004","536","586","949","1,100","1,237","1,168","793","453","159","19","4","7,900","7,900","559","873","1,005","1,126","1,297","1,179","885","599","322","46","9"
"서울특별시 용산구 효창동(1117058000)","4,280","4,280","337","406","636","777","668","671","410","249","112","13","1","4,701","4,701","343","367","699","821","745","682","472","351","178","32","11"
"서울특별시 용산구 용문동(1117059000)","6,067","6,067","463","519","849","1,077","992","975","660","391","122","14","5","6,554","6,554","433","487","932","1,062","1,018","1,003","816","528","220","48","7"
"서울특별시 용산구 한강로동(1117062500)","8,628","8,628","493","474","1,260","1,652","1,305","1,463","1,072","617","235","46","11","9,134","9,134","445","415","1,459","1,800","1,289","1,488","1,081","680","366","83","28"
"서울특별시 용산구 이촌제1동(1117063000)","13,202","13,202","1,508","1,550","1,459","1,684","2,371","2,066","1,264","763","454","76","7","15,110","15,110","1,415","1,531","1,502","2,192","2,904","2,205","1,440","1,114","656","124","27"
"서울특별시 용산구 이촌제2동(1117064000)","4,245","4,245","338","300","499","815","624","652","579","321","106","9","2","4,735","4,735","286","279","517","761","669","785","679","452","242","51","14"
"서울특별시 용산구 이태원제1동(1117065000)","3,334","3,334","144","165","562","602","481","547","441","244","129","13","6","3,721","3,721","152","161","500","564","479","612","573","397","225","44","14"
"서울특별시 용산구 이태원제2동(1117066000)","4,354","4,354","245","267","707","825","702","590","485","369","143","19","2","5,059","5,059","252","297","672","830","777","763","640","518","248","51","11"
"서울특별시 용산구 한남동(1117068500)","9,949","9,949","601","617","1,350","2,086","1,662","1,507","1,156","709","217","39","5","10,629","10,629","540","547","1,425","1,998","1,705","1,652","1,362","901","397","78","24"
"서울특별시 용산구 서빙고동(1117069000)","6,476","6,476","463","796","899","752","1,230","1,114","633","326","235","24","4","6,970","6,970","457","775","881","840","1,325","1,091","670","529","350","48","4"
"서울특별시 용산구 보광동(1117070000)","7,290","7,290","301","522","1,292","1,253","1,128","1,200","866","518","177","27","6","7,590","7,590","242","427","1,039","1,081","1,182","1,390","1,089","731","332","63","14"
"서울특별시 성동구 (1120000000)","151,071","151,071","11,714","11,469","23,175","26,353","24,816","24,739","16,706","8,988","2,769","279","63","156,652","156,652","11,267","11,414","23,571","26,786","24,301","24,654","17,725","11,179","4,829","759","167"
"서울특별시 성동구 왕십리제2동(1120052000)","8,659","8,659","682","706","1,277","1,589","1,388","1,399","939","505","153","14","7","9,105","9,105","617","700","1,357","1,575","1,450","1,437","1,039","621","251","46","12"
"서울특별시 성동구 왕십리도선동(1120053500)","13,100","13,100","1,312","851","2,066","2,380","2,087","2,144","1,340","687","204","23","6","14,314","14,314","1,306","845","2,412","2,602","2,099","2,301","1,362","880","421","65","21"
"서울특별시 성동구 마장동(1120054000)","11,593","11,593","736","934","2,171","1,817","1,657","1,897","1,360","756","242","20","3","11,866","11,866","673","895","2,250","1,689","1,634","1,942","1,451","891","369","61","11"
"서울특별시 성동구 사근동(1120055000)","5,962","5,962","263","364","2,248","939","648","626","438","329","95","9","3","5,585","5,585","229","424","1,808","775","618","660","481","411","151","24","4"
"서울특별시 성동구 행당제1동(1120056000)","7,928","7,928","562","615","1,308","1,346","1,260","1,282","905","486","149","13","2","8,370","8,370","539","607","1,384","1,357","1,269","1,392","910","610","253","42","7"
"서울특별시 성동구 행당제2동(1120057000)","11,750","11,750","1,016","1,118","1,477","1,902","2,202","1,887","1,192","706","218","24","8","13,172","13,172","1,117","1,301","1,610","2,049","2,360","1,961","1,411","910","373","68","12"
"서울특별시 성동구 응봉동(1120058000)","7,716","7,716","676","915","861","1,134","1,552","1,149","741","506","166","14","2","8,582","8,582","668","940","934","1,267","1,643","1,235","910","647","295","39","4"
"서울특별시 성동구 금호1가동(1120059000)","7,724","7,724","671","657","974","1,428","1,346","1,170","857","442","163","13","3","8,352","8,352","674","589","988","1,550","1,320","1,291","1,009","602","285","34","10"
"서울특별시 성동구 금호2.3가동(1120061500)","11,592","11,592","999","878","1,503","2,177","1,996","1,763","1,264","759","217","31","5","12,661","12,661","931","863","1,542","2,384","1,989","1,924","1,520","990","426","73","19"
"서울특별시 성동구 금호4가동(1120062000)","7,356","7,356","806","532","843","1,417","1,347","1,071","761","433","129","13","4","7,973","7,973","738","489","868","1,596","1,332","1,145","920","591","250","39","5"
"서울특별시 성동구 옥수동(1120064500)","12,743","12,743","1,423","906","1,508","2,478","2,194","1,865","1,369","709","252","31","8","14,431","14,431","1,365","885","1,741","3,019","2,244","2,140","1,567","934","437","81","18"
"서울특별시 성동구 성수1가제1동(1120065000)","8,616","8,616","594","672","1,416","1,521","1,322","1,596","929","412","134","17","3","8,578","8,578","545","696","1,274","1,498","1,402","1,483","930","514","206","23","7"
"서울특별시 성동구 성수1가제2동(1120066000)","7,625","7,625","507","562","1,224","1,419","1,266","1,209","872","438","110","14","4","7,644","7,644","467","534","1,250","1,406","1,207","1,185","832","499","226","29","9"
"서울특별시 성동구 성수2가제1동(1120067000)","9,135","9,135","488","595","1,313","1,495","1,418","1,861","1,237","549","166","12","1","8,434","8,434","461","567","1,198","1,280","1,232","1,563","1,142","651","270","58","12"
"서울특별시 성동구 성수2가제3동(1120069000)","5,952","5,952","357","321","954","1,129","851","1,060","770","374","121","13","2","5,592","5,592","332","303","1,047","999","730","896","670","409","179","20","7"
"서울특별시 성동구 송정동(1120072000)","6,007","6,007","318","390","925","1,011","961","1,195","767","336","94","9","1","5,261","5,261","308","324","792","815","770","961","688","406","169","22","6"
"서울특별시 성동구 용답동(1120079000)","7,613","7,613","304","453","1,107","1,171","1,321","1,565","965","561","156","9","1","6,732","6,732","297","452","1,116","925","1,002","1,138","883","613","268","35","3"
"서울특별시 광진구 (1121500000)","172,712","172,712","11,855","14,829","29,326","29,955","27,611","27,535","18,556","9,858","2,851","295","41","182,670","182,670","11,169","14,220","32,024","30,345","28,459","28,923","20,245","11,537","4,799","799","150"
"서울특별시 광진구 화양동(1121571000)","10,352","10,352","269","365","3,695","2,238","1,248","1,116","778","472","151","16","4","11,221","11,221","252","410","4,819","2,054","990","977","895","543","225","42","14"
"서울특별시 광진구 군자동(1121573000)","9,800","9,800","569","615","1,973","1,902","1,402","1,504","1,046","617","161","10","1","10,078","10,078","533","588","2,142","1,772","1,363","1,472","1,140","728","290","43","7"
"서울특별시 광진구 중곡제1동(1121574000)","7,908","7,908","495","467","1,225","1,633","1,204","1,277","938","529","127","10","3","8,151","8,151","416","440","1,407","1,558","1,168","1,366","957","624","173","36","6"
"서울특별시 광진구 중곡제2동(1121575000)","10,762","10,762","768","819","1,759","2,043","1,592","1,762","1,203","651","149","14","2","11,535","11,535","685","775","1,967","2,084","1,662","1,985","1,329","739","259","43","7"
"서울특별시 광진구 중곡제3동(1121576000)","8,726","8,726","503","613","1,383","1,605","1,303","1,567","1,025","574","135","16","2","8,810","8,810","459","581","1,346","1,396","1,292","1,644","1,127","653","254","45","13"
"서울특별시 광진구 중곡제4동(1121577000)","15,174","15,174","968","1,260","2,366","2,446","2,355","2,724","1,780","1,012","234","22","7","15,555","15,555","892","1,105","2,273","2,302","2,373","2,916","2,067","1,119","419","69","20"
"서울특별시 광진구 능동(1121578000)","5,363","5,363","331","327","936","1,307","833","653","532","328","100","16","0","6,197","6,197","333","273","1,327","1,477","794","802","623","386","147","32","3"
"서울특별시 광진구 광장동(1121581000)","17,516","17,516","1,839","2,925","2,106","1,876","3,718","2,714","1,360","652","291","34","1","18,554","18,554","1,698","2,852","2,139","2,351","4,289","2,522","1,378","805","435","76","9"
"서울특별시 광진구 자양제1동(1121582000)","11,221","11,221","608","925","2,002","2,046","1,794","1,804","1,212","628","180","19","3","12,030","12,030","584","812","2,223","2,047","1,822","1,947","1,388","840","310","47","10"
"서울특별시 광진구 자양제2동(1121583000)","13,284","13,284","1,026","1,164","2,045","2,268","2,116","2,098","1,597","748","198","23","1","13,742","13,742","941","1,009","1,972","2,301","2,250","2,335","1,691","841","338","55","9"
"서울특별시 광진구 자양제3동(1121584000)","14,368","14,368","1,362","1,476","2,039","2,158","2,361","2,333","1,615","710","276","36","2","15,429","15,429","1,345","1,465","2,095","2,508","2,563","2,500","1,572","825","481","67","8"
"서울특별시 광진구 자양제4동(1121584700)","9,687","9,687","434","514","1,438","1,623","1,483","1,851","1,393","727","200","19","5","9,621","9,621","438","532","1,454","1,428","1,292","1,745","1,466","859","344","54","9"
"서울특별시 광진구 구의제1동(1121585000)","10,771","10,771","580","704","2,097","2,222","1,702","1,611","1,014","628","191","20","2","11,735","11,735","525","705","2,472","2,278","1,660","1,751","1,208","779","300","45","12"
"서울특별시 광진구 구의제2동(1121586000)","13,414","13,414","1,065","1,271","1,870","2,205","2,234","2,177","1,518","830","224","15","5","14,251","14,251","995","1,279","1,866","2,172","2,329","2,401","1,754","960","412","64","19"
"서울특별시 광진구 구의제3동(1121587000)","14,366","14,366","1,038","1,384","2,392","2,383","2,266","2,344","1,545","752","234","25","3","15,761","15,761","1,073","1,394","2,522","2,617","2,612","2,560","1,650","836","412","81","4"
"서울특별시 동대문구 (1123000000)","173,171","173,171","11,709","13,426","27,683","27,151","27,640","27,771","21,054","12,371","3,887","410","69","174,244","174,244","11,063","12,940","26,566","25,347","25,940","27,608","22,353","15,097","6,118","1,020","192"
"서울특별시 동대문구 용신동(1123053600)","15,688","15,688","793","853","2,681","2,731","2,434","2,602","1,936","1,198","409","45","6","14,805","14,805","732","775","2,637","2,422","2,015","2,307","1,838","1,401","556","106","16"
"서울특별시 동대문구 제기동(1123054500)","12,849","12,849","614","794","2,248","1,994","1,829","2,079","1,723","1,118","402","43","5","12,263","12,263","569","733","1,861","1,576","1,536","1,983","1,890","1,398","611","89","17"
"서울특별시 동대문구 전농제1동(1123056000)","15,378","15,378","1,054","1,113","2,318","2,382","2,413","2,601","1,981","1,103","366","35","12","15,115","15,115","1,001","1,064","2,198","2,169","2,159","2,530","1,894","1,433","555","88","24"
"서울특별시 동대문구 전농제2동(1123057000)","9,556","9,556","731","967","1,266","1,261","1,556","1,641","1,167","660","280","24","3","10,324","10,324","717","992","1,224","1,292","1,735","1,702","1,336","904","374","42","6"
"서울특별시 동대문구 답십리제1동(1123060000)","14,238","14,238","1,443","1,066","1,923","2,778","2,371","2,159","1,430","784","245","31","8","14,889","14,889","1,440","1,026","2,096","2,898","2,256","2,208","1,496","959","419","73","18"
"서울특별시 동대문구 답십리제2동(1123061000)","14,140","14,140","960","1,178","1,937","2,065","2,315","2,444","1,842","1,073","296","22","8","14,686","14,686","925","1,164","1,877","1,969","2,243","2,597","1,963","1,297","560","80","11"
"서울특별시 동대문구 장안제1동(1123065000)","19,322","19,322","1,458","1,443","2,565","3,426","3,338","3,042","2,436","1,263","315","29","7","19,257","19,257","1,312","1,390","2,647","3,253","3,059","3,136","2,494","1,376","472","104","14"
"서울특별시 동대문구 장안제2동(1123066000)","15,756","15,756","1,467","1,579","1,903","2,476","2,867","2,391","1,877","944","219","30","3","15,623","15,623","1,326","1,355","1,714","2,487","2,775","2,421","1,946","1,097","403","89","10"
"서울특별시 동대문구 청량리동(1123070500)","10,957","10,957","539","700","1,409","1,453","1,585","2,026","1,748","1,098","356","40","3","10,872","10,872","511","650","1,254","1,225","1,396","1,968","1,835","1,343","578","89","23"
"서울특별시 동대문구 회기동(1123071000)","4,958","4,958","282","348","1,373","817","713","584","422","297","105","16","1","5,418","5,418","271","400","1,486","809","674","609","536","415","168","39","11"
"서울특별시 동대문구 휘경제1동(1123072000)","6,447","6,447","295","428","1,368","1,014","925","1,029","721","488","156","19","4","6,410","6,410","280","388","1,394","888","862","936","811","573","240","34","4"
"서울특별시 동대문구 휘경제2동(1123073000)","12,099","12,099","772","1,066","2,661","1,682","1,820","1,771","1,317","767","215","25","3","12,444","12,444","739","1,178","2,358","1,577","1,877","1,847","1,509","926","371","55","7"
"서울특별시 동대문구 이문제1동(1123074000)","11,333","11,333","533","847","2,605","1,644","1,694","1,655","1,230","804","286","30","5","11,211","11,211","495","852","2,374","1,352","1,564","1,624","1,378","1,045","426","75","26"
"서울특별시 동대문구 이문제2동(1123075000)","10,450","10,450","768","1,044","1,426","1,428","1,780","1,747","1,224","774","237","21","1","10,927","10,927","745","973","1,446","1,430","1,789","1,740","1,427","930","385","57","5"
"서울특별시 중랑구 (1126000000)","200,252","200,252","13,372","15,581","28,986","32,094","31,579","35,533","25,628","13,431","3,696","310","42","202,722","202,722","12,729","14,826","28,475","29,867","29,833","36,505","27,094","15,979","6,209","1,075","130"
"서울특별시 중랑구 면목제2동(1126052000)","13,075","13,075","796","940","1,848","2,062","2,175","2,543","1,600","846","245","19","1","13,008","13,008","795","996","1,707","1,778","2,023","2,459","1,742","1,049","386","65","8"
"서울특별시 중랑구 면목제4동(1126054000)","10,151","10,151","653","781","1,396","1,671","1,720","1,731","1,265","767","144","22","1","10,256","10,256","612","691","1,472","1,486","1,518","1,696","1,479","970","276","49","7"
"서울특별시 중랑구 면목제5동(1126055000)","5,092","5,092","281","393","725","797","824","976","650","338","101","7","0","4,842","4,842","308","350","615","695","713","913","664","418","140","23","3"
"서울특별시 중랑구 면목본동(1126056500)","17,840","17,840","1,013","1,196","2,737","3,117","2,848","3,225","2,176","1,202","299","21","6","17,961","17,961","987","1,176","2,641","2,758","2,674","3,314","2,390","1,411","520","72","18"
"서울특별시 중랑구 면목제7동(1126057000)","10,915","10,915","635","714","1,636","1,677","1,708","1,953","1,536","834","207","13","2","11,041","11,041","605","664","1,524","1,606","1,516","2,131","1,617","919","393","55","11"
"서울특별시 중랑구 면목제3.8동(1126057500)","13,355","13,355","673","953","2,021","2,106","2,097","2,401","1,815","1,002","258","26","3","13,223","13,223","659","880","1,870","1,824","1,866","2,520","1,913","1,195","416","74","6"
"서울특별시 중랑구 상봉제1동(1126058000)","12,415","12,415","1,034","1,207","1,875","1,947","1,872","2,180","1,416","687","185","12","0","13,001","13,001","944","1,084","1,924","1,892","1,976","2,366","1,531","864","359","59","2"
"서울특별시 중랑구 상봉제2동(1126059000)","9,292","9,292","457","508","1,552","1,962","1,390","1,543","1,071","626","163","17","3","9,622","9,622","423","454","1,876","1,857","1,307","1,595","1,194","620","249","38","9"
"서울특별시 중랑구 중화제1동(1126060000)","10,300","10,300","757","766","1,575","1,808","1,478","1,743","1,340","636","183","13","1","10,569","10,569","711","752","1,550","1,664","1,417","1,934","1,419","758","302","58","4"
"서울특별시 중랑구 중화제2동(1126061000)","14,425","14,425","676","856","2,019","2,264","2,193","2,989","2,048","1,055","290","31","4","13,603","13,603","566","764","1,985","1,961","1,897","2,648","2,002","1,244","457","71","8"
"서울특별시 중랑구 묵제1동(1126062000)","17,635","17,635","1,422","1,687","2,439","2,826","3,044","2,699","2,029","1,140","331","12","6","18,396","18,396","1,350","1,622","2,478","2,819","3,026","2,983","2,222","1,297","496","89","14"
"서울특별시 중랑구 묵제2동(1126063000)","9,937","9,937","660","716","1,435","1,811","1,538","1,623","1,307","664","167","12","4","10,196","10,196","632","678","1,530","1,601","1,502","1,726","1,416","802","258","47","4"
"서울특별시 중랑구 망우본동(1126065500)","15,911","15,911","889","1,091","2,275","2,332","2,424","3,095","2,337","1,101","331","32","4","15,490","15,490","872","1,108","2,080","2,130","2,143","2,968","2,241","1,315","520","100","13"
"서울특별시 중랑구 망우제3동(1126066000)","9,067","9,067","496","677","1,294","1,303","1,391","1,795","1,268","647","180","13","3","8,952","8,952","479","739","1,202","1,164","1,300","1,674","1,260","759","307","57","11"
"서울특별시 중랑구 신내1동(1126068000)","20,132","20,132","2,082","2,037","2,741","2,778","3,152","3,282","2,377","1,254","387","39","3","20,968","20,968","1,972","1,864","2,659","2,951","3,129","3,597","2,481","1,453","703","150","9"
"서울특별시 중랑구 신내2동(1126069000)","10,710","10,710","848","1,059","1,418","1,633","1,725","1,755","1,393","632","225","21","1","11,594","11,594","814","1,004","1,362","1,681","1,826","1,981","1,523","905","427","68","3"
"서울특별시 성북구 (1129000000)","211,557","211,557","15,942","20,350","31,432","30,636","36,358","33,571","23,814","14,269","4,641","458","86","223,713","223,713","15,139","19,521","32,206","31,008","36,708","34,817","26,983","18,217","7,591","1,276","247"
"서울특별시 성북구 성북동(1129052500)","8,225","8,225","463","728","1,283","1,279","1,363","1,297","899","603","266","36","8","9,079","9,079","490","643","1,445","1,386","1,416","1,451","1,010","783","375","74","6"
"서울특별시 성북구 삼선동(1129055500)","12,706","12,706","772","1,210","2,131","1,937","2,178","2,005","1,317","829","292","27","8","13,659","13,659","699","1,098","2,463","1,946","2,193","2,046","1,517","1,122","472","83","20"
"서울특별시 성북구 동선동(1129057500)","6,683","6,683","334","492","1,360","1,276","1,063","890","642","450","150","23","3","8,908","8,908","346","574","2,712","1,452","1,127","980","796","615","247","46","13"
"서울특별시 성북구 돈암제1동(1129058000)","7,614","7,614","491","723","1,078","1,079","1,204","1,347","966","534","170","17","5","8,646","8,646","514","835","1,191","1,144","1,326","1,469","1,116","696","314","35","6"
"서울특별시 성북구 돈암제2동(1129059000)","11,990","11,990","1,200","1,521","1,512","1,504","2,297","1,919","1,167","607","233","27","3","13,134","13,134","1,142","1,523","1,502","1,770","2,571","2,060","1,284","805","407","63","7"
"서울특별시 성북구 안암동(1129060000)","7,745","7,745","279","555","2,416","1,225","968","1,053","656","436","139","15","3","7,447","7,447","259","472","2,037","1,014","942","1,066","762","587","267","32","9"
"서울특별시 성북구 보문동(1129061000)","8,079","8,079","591","560","1,390","1,467","1,345","1,252","836","468","148","17","5","8,586","8,586","536","551","1,490","1,427","1,339","1,359","952","586","290","49","7"
"서울특별시 성북구 정릉제1동(1129062000)","8,698","8,698","742","890","1,137","1,298","1,565","1,331","934","584","201","14","2","9,362","9,362","687","930","1,097","1,375","1,661","1,384","1,106","754","309","49","10"
"서울특별시 성북구 정릉제2동(1129063000)","11,758","11,758","905","1,169","1,607","1,702","1,904","1,835","1,481","847","286","20","2","12,244","12,244","864","997","1,517","1,601","2,012","1,999","1,690","1,066","409","73","16"
"서울특별시 성북구 정릉제3동(1129064000)","7,929","7,929","415","616","1,620","1,168","1,083","1,191","960","619","233","22","2","7,889","7,889","363","533","1,242","908","1,091","1,260","1,165","906","339","74","8"
"서울특별시 성북구 정릉제4동(1129065000)","13,017","13,017","1,040","1,301","1,633","1,903","2,274","2,016","1,561","961","294","32","2","13,756","13,756","960","1,163","1,639","1,939","2,330","2,171","1,831","1,189","434","87","13"
"서울특별시 성북구 길음제1동(1129066000)","17,972","17,972","2,376","2,413","1,671","2,475","4,112","2,314","1,417","918","245","24","7","19,628","19,628","2,201","2,510","1,833","3,078","4,187","2,358","1,717","1,157","487","83","17"
"서울특별시 성북구 길음제2동(1129068500)","5,662","5,662","483","571","702","735","990","961","709","362","131","15","3","5,961","5,961","396","499","734","817","1,033","963","786","495","192","34","12"
"서울특별시 성북구 종암동(1129070500)","20,300","20,300","1,646","2,178","3,140","2,843","3,455","3,242","2,050","1,231","441","64","10","20,582","20,582","1,561","1,847","2,693","2,869","3,491","3,175","2,334","1,642","799","145","26"
"서울특별시 성북구 월곡제1동(1129071500)","13,421","13,421","1,209","1,364","1,534","1,892","2,521","2,071","1,589","956","261","19","5","14,232","14,232","1,223","1,453","1,569","1,958","2,462","2,138","1,780","1,119","452","62","16"
"서울특별시 성북구 월곡제2동(1129072500)","9,796","9,796","688","778","1,523","1,473","1,616","1,579","1,204","681","232","21","1","10,254","10,254","635","804","1,786","1,414","1,483","1,534","1,289","860","371","68","10"
"서울특별시 성북구 장위제1동(1129076000)","10,369","10,369","548","948","1,606","1,394","1,625","1,952","1,349","710","215","18","4","10,625","10,625","554","882","1,429","1,192","1,651","2,065","1,495","934","363","49","11"
