"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"경기도 부천시 고강1동(4119082000)","7,837","7,837","437","709","1,297","1,080","1,282","1,617","895","389","117","13","1","7,819","7,819","498","650","1,134","929","1,249","1,574","923","544","279","37","2"
"경기도 부천시 오정동(4119083000)","11,785","11,785","969","1,158","1,746","1,895","1,960","2,072","1,339","501","132","13","0","10,929","10,929","929","919","1,483","1,611","1,667","2,098","1,318","557","299","44","4"
"경기도 부천시 원종1동(4119084000)","11,822","11,822","759","1,100","1,955","1,615","1,827","2,392","1,400","571","179","23","1","11,728","11,728","731","1,041","1,689","1,443","1,851","2,419","1,378","727","388","57","4"
"경기도 부천시 원종2동(4119085000)","11,682","11,682","783","1,272","1,909","1,556","2,036","2,348","1,143","468","153","14","0","11,648","11,648","729","1,144","1,841","1,409","1,936","2,306","1,086","747","390","59","1"
"경기도 부천시 신흥동(4119086000)","10,280","10,280","621","825","1,608","1,485","1,736","2,232","1,214","436","110","12","1","8,904","8,904","531","731","1,287","1,147","1,364","1,918","1,079","551","245","41","10"
"경기도 광명시 (4121000000)","161,524","161,524","14,200","17,974","22,085","24,453","28,576","26,469","17,228","7,955","2,313","242","29","164,901","164,901","13,493","16,944","20,136","23,948","28,931","27,058","18,672","9,975","4,889","750","105"
"경기도 광명시 광명1동(4121051000)","6,168","6,168","351","575","967","926","956","1,085","790","369","137","12","0","6,194","6,194","323","486","811","765","913","1,194","878","554","240","25","5"
"경기도 광명시 광명2동(4121052000)","5,101","5,101","245","398","775","743","759","1,015","658","385","109","14","0","5,351","5,351","234","422","716","622","792","1,035","834","472","201","18","5"
"경기도 광명시 광명3동(4121054000)","4,861","4,861","242","344","739","726","724","927","644","396","105","12","2","5,189","5,189","237","314","705","658","726","996","832","504","190","25","2"
"경기도 광명시 광명4동(4121055000)","7,049","7,049","393","513","1,045","1,170","1,060","1,178","1,023","513","136","14","4","7,472","7,472","400","554","939","1,030","1,091","1,338","1,195","627","239","47","12"
