일자,계(명),국내발생(명),해외유입(명),사망(명),,,,,,,
2021.11.8,1758,1731,27,13,,,,,,,
2021.11.9,1715,1698,17,18,,,,,,,
2021.11.10,2424,2408,16,14,,,,,,,
2021.11.11,2519,2493,26,21,,,,,,,
2021.11.12,2368,2358,10,18,,,,,,,
2021.11.13,2324,2310,14,32,,,,,,,
2021.11.14,2417,2399,18,20,,,,,,,
2021.11.15,2003,1983,20,12,,,,,,,
2021.11.16,2124,2109,15,22,,,,,,,
2021.11.17,3184,3161,23,21,,,,,,,
2021.11.18,3292,3272,20,29,,,,,,,
2021.11.19,3033,3010,23,28,,,,,,,
2021.11.20,3203,3186,17,29,,,,,,,
2021.11.21,3119,3095,24,30,,,,,,,
2021.11.22,2826,2806,20,24,,,,,,,
2021.11.23,2697,2683,14,30,,,,,,,
2021.11.24,4115,4087,28,34,,,,,,,
2021.11.25,3937,3916,21,39,,,,,,,
2021.11.26,3895,3877,18,39,,,,,,,
2021.11.27,4067,4044,23,52,,,,,,,
2021.11.28,3925,3890,35,56,,,,,,,
2021.11.29,3307,3284,23,32,,,,,,,
2021.11.30,3032,3003,29,44,,,,,,,
2021.12.1,5120,5072,48,34,,,,,,,
2021.12.2,5262,5238,24,47,,,,,,,
2021.12.3,4943,4922,21,34,,,,,,,
2021.12.4,5352,5327,25,70,,,,,,,
2021.12.5,5124,5101,23,43,,,,,,,
2021.12.6,4324,4295,29,41,,,,,,,
2021.12.7,4952,4922,30,64,,,,,,,
2021.12.8,7173,7139,34,63,,,,,,,
2021.12.9,7101,7081,20,57,,,,,,,
2021.12.10,7020,6981,39,53,,,,,,,
2021.12.11,6972,6946,26,80,,,,,,,
2021.12.12,6683,6655,28,42,,,,,,,
2021.12.13,5816,5781,35,40,,,,,,,
2021.12.14,5565,5523,42,94,,,,,,,
2021.12.15,7848,7825,23,70,,,,,,,
2021.12.16,7618,7587,31,62,,,,,,,
2021.12.17,7434,7398,36,73,,,,,,,
2021.12.18,7310,7281,29,53,,,,,,,
2021.12.19,6232,6169,63,78,,,,,,,
2021.12.20,5315,5255,60,54,,,,,,,
2021.12.21,5194,5136,58,52,,,,,,,
2021.12.22,7454,7363,91,78,,,,,,,
2021.12.23,6914,6853,61,109,,,,,,,
2021.12.24,6233,6163,70,56,,,,,,,
2021.12.25,5838,5764,74,105,,,,,,,
2021.12.26,5415,5335,80,69,,,,,,,
2021.12.27,4204,4121,83,55,,,,,,,
2021.12.28,3864,3776,88,46,,,,,,,
2021.12.29,5405,5279,126,36,,,,,,,
2021.12.30,5034,4929,105,73,,,,,,,
2021.12.31,4872,4755,117,108,,,,,,,
2022.1.1,4414,4309,105,62,,,,,,,
2022.1.2,3830,3680,150,69,,,,,,,
2022.1.3,3124,2989,135,36,,,,,,,
2022.1.4,3020,2887,133,51,,,,,,,
2022.1.5,4441,4231,210,57,,,,,,,
2022.1.6,4120,3928,192,49,,,,,,,
2022.1.7,3711,3526,185,45,,,,,,,
2022.1.8,3503,3293,210,54,,,,,,,
2022.1.9,3369,3136,233,51,,,,,,,
2022.1.10,3004,2766,238,34,,,,,,,
2022.1.11,3094,2810,284,43,,,,,,,
2022.1.12,4382,4005,377,52,,,,,,,
2022.1.13,4160,3775,385,44,,,,,,,
2022.1.14,4537,4131,406,49,,,,,,,
2022.1.15,4418,4073,345,22,,,,,,,
2022.1.16,4186,3811,375,29,,,,,,,
2022.1.17,3853,3549,304,23,,,,,,,
2022.1.18,4067,3761,306,45,,,,,,,
2022.1.19,5804,5430,374,74,,,,,,,
2022.1.20,6599,6355,244,28,,,,,,,
2022.1.21,6763,6478,285,21,,,,,,,
2022.1.22,6999,6725,274,28,,,,,,,
2022.1.23,7624,7340,284,11,,,,,,,
2022.1.24,7510,7157,353,25,,,,,,,
2022.1.25,8568,8354,214,23,,,,,,,
2022.1.26,13002,12734,268,32,,,,,,,
2022.1.27,14514,14297,217,34,,,,,,,
2022.1.28,16089,15888,201,24,,,,,,,
2022.1.29,17505,17316,189,34,,,,,,,
2022.1.30,17520,17295,225,20,,,,,,,
2022.1.31,17071,16841,230,23,,,,,,,
2022.2.1,18332,18113,219,17,,,,,,,
2022.2.2,20267,20105,162,15,,,,,,,
2022.2.3,22836,22702,134,25,,,,,,,
2022.2.4,27432,27276,156,24,,,,,,,
2022.2.5,36323,36141,182,22,,,,,,,
2022.2.6,38683,38492,191,15,,,,,,,
2022.2.7,35268,35120,148,13,,,,,,,
2022.2.8,36708,36608,100,36,,,,,,,
2022.2.9,49539,49373,166,21,,,,,,,
2022.2.10,54116,54029,87,20,,,,,,,
2022.2.11,53886,53775,111,49,,,,,,,
2022.2.12,54931,54820,111,33,,,,,,,
2022.2.13,56397,56268,129,36,,,,,,,
2022.2.14,54554,54449,105,21,,,,,,,
2022.2.15,57163,56995,168,61,,,,,,,
2022.2.16,90433,90270,163,39,,,,,,,
2022.2.17,93119,93028,91,36,,,,,,,
2022.2.18,109803,109688,115,45,,,,,,,
2022.2.19,102192,102053,139,71,,,,,,,
2022.2.20,104815,104716,99,51,,,,,,,
2022.2.21,95350,95205,145,45,,,,,,,
2022.2.22,99556,99426,130,58,,,,,,,
2022.2.23,171430,171249,181,99,,,,,,,
2022.2.24,169995,169826,169,82,,,,,,,
2022.2.25,165879,165739,140,94,,,,,,,
2022.2.26,166189,166047,142,112,,,,,,,
2022.2.27,163550,163397,153,49,,,,,,,
2022.2.28,139620,139459,161,114,,,,,,,
2022.3.1,138980,138921,59,112,,,,,,,
2022.3.2,219214,219145,69,96,,,,,,,
2022.3.3,198794,198739,55,128,,,,,,,
2022.3.4,266839,266757,82,185,,,,,,,
2022.3.5,254316,254238,78,216,,,,,,,
2022.3.6,243611,243523,88,161,,,,,,,
2022.3.7,210693,210603,90,139,,,,,,,
2022.3.8,202694,202619,75,186,,,,,,,
2022.3.9,342420,342360,60,158,,,,,,,
2022.3.10,327515,327458,57,206,,,,,,,
2022.3.11,282966,282859,107,229,,,,,,,
2022.3.12,383634,383560,74,269,,,,,,,
2022.3.13,350150,350115,35,251,,,,,,,
2022.3.14,309764,309702,62,200,,,,,,,
2022.3.15,362249,362194,55,293,,,,,,,
2022.3.16,400524,400448,76,164,,,,,,,
2022.3.17,621130,621072,58,429,,,,,,,
2022.3.18,406824,406785,39,301,,,,,,,
2022.3.19,381364,381301,63,319,,,,,,,
2022.3.20,334588,334564,24,327,,,,,,,
2022.3.21,209114,209074,40,329,,,,,,,
2022.3.22,353877,353832,45,384,,,,,,,
2022.3.23,490753,490708,45,291,,,,,,,
2022.3.24,395517,395450,67,469,,,,,,,
2022.3.25,339452,339423,29,393,,,,,,,
2022.3.26,335511,335462,49,323,,,,,,,
2022.3.27,318052,318007,45,282,,,,,,,
2022.3.28,187166,187136,30,287,,,,,,,
2022.3.29,347467,347426,41,237,,,,,,,
2022.3.30,424555,424523,32,432,,,,,,,
2022.3.31,320681,320656,25,375,,,,,,,
2022.4.1,280235,280182,53,360,,,,,,,
2022.4.2,264144,264078,66,339,,,,,,,
2022.4.3,234249,234224,25,306,,,,,,,
2022.4.4,127162,127142,20,218,,,,,,,
2022.4.5,266092,266056,36,209,,,,,,,
2022.4.6,286256,286233,23,371,,,,,,,
2022.4.7,224783,224742,41,348,,,,,,,
2022.4.8,205308,205271,37,373,,,,,,,
2022.4.9,185532,185485,47,338,,,,,,,
2022.4.10,164451,164419,32,329,,,,,,,
2022.4.11,90908,90882,26,258,,,,,,,
2022.4.12,210722,210675,47,171,,,,,,,
2022.4.13,195385,195345,40,184,,,,,,,
2022.4.14,148421,148386,35,318,,,,,,,
2022.4.15,125821,125804,17,264,,,,,,,
2022.4.16,107891,107860,31,273,,,,,,,
2022.4.17,92970,92948,22,203,,,,,,,
2022.4.18,47724,47710,14,132,,,,,,,
2022.4.19,118471,118443,28,130,,,,,,,
2022.4.20,111290,111274,16,166,,,,,,,
2022.4.21,90846,90811,35,147,,,,,,,
2022.4.22,81041,81022,19,206,,,,,,,
2022.4.23,75420,75385,35,151,,,,,,,
2022.4.24,64692,64655,37,109,,,,,,,
2022.4.25,34361,34322,39,110,,,,,,,
2022.4.26,80338,80313,25,82,,,,,,,
2022.4.27,76761,76722,39,141,,,,,,,
2022.4.28,57452,57427,25,122,,,,,,,
2022.4.29,50554,50523,31,136,,,,,,,
2022.4.30,43273,43255,18,70,,,,,,,
2022.5.1,37757,37720,37,81,,,,,,,
2022.5.2,20072,20045,27,83,,,,,,,
2022.5.3,51115,51071,44,49,,,,,,,
2022.5.4,49050,49016,34,72,,,,,,,
2022.5.5,42286,42258,28,79,,,,,,,
2022.5.6,26699,26671,28,48,,,,,,,
2022.5.7,39590,39563,27,83,,,,,,,
2022.5.8,40046,40030,16,71,,,,,,,
2022.5.9,20585,20569,16,40,,,,,,,
2022.5.10,49919,49896,23,62,,,,,,,
2022.5.11,43908,43871,37,29,,,,,,,
2022.5.12,35894,35880,14,63,,,,,,,
2022.5.13,32437,32423,14,52,,,,,,,
2022.5.14,29576,29550,26,55,,,,,,,
2022.5.15,25423,25397,26,48,,,,,,,
2022.5.16,13289,13262,27,35,,,,,,,
2022.5.17,35104,35078,26,27,,,,,,,
2022.5.18,31338,31303,35,31,,,,,,,
2022.5.19,28122,28108,14,40,,,,,,,
2022.5.20,25119,25097,22,43,,,,,,,
2022.5.21,23455,23443,12,26,,,,,,,
2022.5.22,19287,19262,25,54,,,,,,,
2022.5.23,9971,9953,18,22,,,,,,,
2022.5.24,26338,26295,43,19,,,,,,,
2022.5.25,23945,23924,21,23,,,,,,,
2022.5.26,18805,18772,33,34,,,,,,,
2022.5.27,16575,16528,47,40,,,,,,,
2022.5.28,14394,14349,45,36,,,,,,,
2022.5.29,12646,12620,26,19,,,,,,,
2022.5.30,6133,6086,47,9,,,,,,,
2022.5.31,17182,17139,43,9,,,,,,,
2022.6.1,15787,15740,47,21,,,,,,,
2022.6.2,9886,9853,33,15,,,,,,,
2022.6.3,12534,12499,35,17,,,,,,,
2022.6.4,12036,11994,42,9,,,,,,,
2022.6.5,9828,9781,47,20,,,,,,,
2022.6.6,5015,4998,17,21,,,,,,,
2022.6.7,6171,6135,36,20,,,,,,,
2022.6.8,13353,13292,61,6,,,,,,,
2022.6.9,12149,12083,66,18,,,,,,,
2022.6.10,9307,9258,49,18,,,,,,,
2022.6.11,8435,8372,63,10,,,,,,,
2022.6.12,7376,7296,80,20,,,,,,,
2022.6.13,3817,3761,56,17,,,,,,,
2022.6.14,9768,9726,42,2,,,,,,,
2022.6.15,9426,9322,104,9,,,,,,,
2022.6.16,7979,7893,86,8,,,,,,,
2022.6.17,7191,7122,69,9,,,,,,,
2022.6.18,6821,6744,77,11,,,,,,,
2022.6.19,6063,5980,83,14,,,,,,,
2022.6.20,3531,3437,94,10,,,,,,,
2022.6.21,9299,9226,73,12,,,,,,,
2022.6.22,8974,8872,102,11,,,,,,,
2022.6.23,7492,7401,91,14,,,,,,,
2022.6.24,7218,7105,113,10,,,,,,,
2022.6.25,6779,6666,113,18,,,,,,,
2022.6.26,6236,6100,136,6,,,,,,,
2022.6.27,3419,3308,111,3,,,,,,,
2022.6.28,9889,9770,119,5,,,,,,,
2022.6.29,10447,10243,204,7,,,,,,,
2022.6.30,9590,9445,145,10,,,,,,,
2022.7.1,9514,9376,138,8,,,,,,,
2022.7.2,10708,10536,172,7,,,,,,,
2022.7.3,10037,9851,186,8,,,,,,,
2022.7.4,6241,6080,161,4,,,,,,,
2022.7.5,18125,17961,164,2,,,,,,,
2022.7.6,19352,19126,226,7,,,,,,,
2022.7.7,18494,18297,197,10,,,,,,,
2022.7.8,19294,19107,187,12,,,,,,,
2022.7.9,20259,20040,219,19,,,,,,,
2022.7.10,20383,20136,247,19,,,,,,,
2022.7.11,12671,12500,171,18,,,,,,,
2022.7.12,37332,37081,251,7,,,,,,,
2022.7.13,40240,39856,384,12,,,,,,,
2022.7.14,39154,38831,323,16,,,,,,,
2022.7.15,38856,38596,260,16,,,,,,,
2022.7.16,41290,41015,275,16,,,,,,,
2022.7.17,40312,40018,294,14,,,,,,,
2022.7.18,26273,25957,316,11,,,,,,,
2022.7.19,73536,73190,346,12,,,,,,,
2022.7.20,76350,75931,419,12,,,,,,,
2022.7.21,71128,70816,312,17,,,,,,,
2022.7.22,68587,68269,318,31,,,,,,,
2022.7.23,68523,68228,295,30,,,,,,,
2022.7.24,65364,65051,313,18,,,,,,,
2022.7.25,35848,35512,336,17,,,,,,,
2022.7.26,99211,98861,350,17,,,,,,,
2022.7.27,100222,99690,532,25,,,,,,,
2022.7.28,88335,87919,416,25,,,,,,,
2022.7.29,85271,84841,430,35,,,,,,,
2022.7.30,81931,81541,390,35,,,,,,,
2022.7.31,73552,73206,346,20,,,,,,,
2022.8.1,44635,44194,441,21,,,,,,,
2022.8.2,111743,111179,564,16,,,,,,,
2022.8.3,119861,119273,588,26,,,,,,,
2022.8.4,107845,107418,427,34,,,,,,,
2022.8.5,112825,112339,486,47,,,,,,,
2022.8.6,110623,110053,570,45,,,,,,,
2022.8.7,105454,104975,479,27,,,,,,,
2022.8.8,55242,54768,474,29,,,,,,,
2022.8.9,149848,149268,580,40,,,,,,,
2022.8.10,151719,151113,606,50,,,,,,,
2022.8.11,137161,136655,506,59,,,,,,,
2022.8.12,128653,128196,457,58,,,,,,,
2022.8.13,124536,124070,466,67,,,,,,,
2022.8.14,119524,119073,451,57,,,,,,,
2022.8.15,62045,61654,391,50,,,,,,,
2022.8.16,84091,83632,459,37,,,,,,,
2022.8.17,180745,180183,562,42,,,,,,,
2022.8.18,178502,177872,630,61,,,,,,,
2022.8.19,138767,138304,463,83,,,,,,,
2022.8.20,129350,128862,488,84,,,,,,,
2022.8.21,110903,110508,395,64,,,,,,,
2022.8.22,59014,58612,402,65,,,,,,,
2022.8.23,150199,149706,493,52,,,,,,,
2022.8.24,139291,138837,454,63,,,,,,,
2022.8.25,113343,112975,368,108,,,,,,,
2022.8.26,101110,100755,355,81,,,,,,,
2022.8.27,95565,95172,393,86,,,,,,,
2022.8.28,85230,84866,364,70,,,,,,,
2022.8.29,43110,42754,356,49,,,,,,,
2022.8.30,115610,115229,381,71,,,,,,,
2022.8.31,103913,103456,457,75,,,,,,,
2022.9.1,81553,81256,297,112,,,,,,,
2022.9.2,89553,89230,323,64,,,,,,,
2022.9.3,79710,79388,322,74,,,,,,,
2022.9.4,72112,71875,237,79,,,,,,,
2022.9.5,37524,37244,280,56,,,,,,,
2022.9.6,99813,99535,278,44,,,,,,,
2022.9.7,85504,85169,335,56,,,,,,,
2022.9.8,72620,72401,219,64,,,,,,,
2022.9.9,69391,69116,275,68,,,,,,,
2022.9.10,42694,42461,233,48,,,,,,,
2022.9.11,28193,27967,226,47,,,,,,,
2022.9.12,36917,36715,202,22,,,,,,,
2022.9.13,57276,57009,267,35,,,,,,,
2022.9.14,93949,93637,312,60,,,,,,,
2022.9.15,71444,71098,346,72,,,,,,,
2022.9.16,51848,51506,342,60,,,,,,,
2022.9.17,43430,43153,277,57,,,,,,,
2022.9.18,34735,34499,236,46,,,,,,,
2022.9.19,19382,19103,279,39,,,,,,,
2022.9.20,47889,47575,314,24,,,,,,,
2022.9.21,41264,40942,322,59,,,,,,,
2022.9.22,32990,32735,255,59,,,,,,,
2022.9.23,29091,28790,301,68,,,,,,,
2022.9.24,29330,29034,296,63,,,,,,,
2022.9.25,25766,25521,245,73,,,,,,,
2022.9.26,14152,13936,216,33,,,,,,,
2022.9.27,39401,39099,302,26,,,,,,,
2022.9.28,36131,35756,375,46,,,,,,,
2022.9.29,30857,30611,246,46,,,,,,,
2022.9.30,28487,28213,274,42,,,,,,,
2022.10.1,26946,26649,297,39,,,,,,,
2022.10.2,23575,23334,241,44,,,,,,,
2022.10.3,12142,12011,131,20,,,,,,,
2022.10.4,16413,16307,106,19,,,,,,,
2022.10.5,34725,34656,69,16,,,,,,,
2022.10.6,28634,28552,82,29,,,,,,,
2022.10.7,22286,22232,54,41,,,,,,,
2022.10.8,19421,19361,60,32,,,,,,,
2022.10.9,17646,17585,61,29,,,,,,,
2022.10.10,8974,8927,47,23,,,,,,,
2022.10.11,15465,15370,95,10,,,,,,,
2022.10.12,30516,30446,70,15,,,,,,,
2022.10.13,26936,26869,67,25,,,,,,,
2022.10.14,23572,23512,60,35,,,,,,,
2022.10.15,22829,22776,53,25,,,,,,,
2022.10.16,21454,21367,87,32,,,,,,,
2022.10.17,11024,10943,81,10,,,,,,,
2022.10.18,33218,33131,87,6,,,,,,,
2022.10.19,29492,29420,72,43,,,,,,,
2022.10.20,25376,25323,53,23,,,,,,,
2022.10.21,24731,24673,58,30,,,,,,,
2022.10.22,26892,26844,48,22,,,,,,,
2022.10.23,26234,26168,66,16,,,,,,,
2022.10.24,14296,14242,54,10,,,,,,,
2022.10.25,43739,43667,72,17,,,,,,,
2022.10.26,40816,40736,80,26,,,,,,,
2022.10.27,34974,34919,55,26,,,,,,,
2022.10.28,35913,35853,60,30,,,,,,,
2022.10.29,37312,37256,56,31,,,,,,,
2022.10.30,34491,34445,46,27,,,,,,,
2022.10.31,18503,18447,56,18,,,,,,,
2022.11.1,58360,58292,68,33,,,,,,,
2022.11.2,54734,54657,77,30,,,,,,,
2022.11.3,46880,46825,55,41,,,,,,,
2022.11.4,43437,43387,50,35,,,,,,,
2022.11.5,40895,40838,57,41,,,,,,,
2022.11.6,36665,36599,66,18,,,,,,,
2022.11.7,18665,18605,60,18,,,,,,,
2022.11.8,62260,62208,52,30,,,,,,,
2022.11.9,62468,62426,42,59,,,,,,,
2022.11.10,55357,55307,50,52,,,,,,,
2022.11.11,54519,54470,49,40,,,,,,,
2022.11.12,54328,54270,58,46,,,,,,,
2022.11.13,48465,48412,53,48,,,,,,,
2022.11.14,23765,23711,54,44,,,,,,,
2022.11.15,72883,72833,50,39,,,,,,,
2022.11.16,66587,66520,67,47,,,,,,,
2022.11.17,55437,55398,39,67,,,,,,,
